Input,Output,Input_Level
Calling you trash would be an insult to garbage.,"If there were awards for disgrace, you'd win all of them.",Severe_toxicity
That logic was... creative.,A swing and a miss — again.,Moderate
You make pussys look intelligent.,You're impressively awful at being human.,Severe_toxicity
"You're something else, huh?","You're delightfully odd, I'll say that much.",Soft
Could you explain that again?,Could you explain that again?,Not_toxic
"Well, that was interesting.",You're the kind of weird people write books about.,Soft
I've met smarter doormats than you.,You've really perfected the art of being annoying.,Toxic
You're a parade of poor decisions.,You’ve got a real talent for being avoided.,Toxic
"Go fuck yourself, you miserable inbred mistake!",Your mother must be proud. Somewhere. Maybe.,Severe_toxicity
You do have a way with words… sort of.,Your talent lies in confusing others.,Soft
You're really talented at that!,You're really talented at that!,Not_toxic
You're about as sharp as a rubber spoon.,Your ideas are… interesting. Just not good.,Toxic
You're adorably mistaken.,You're quirky. Let’s leave it at that.,Soft
Maybe try a different approach next time.,Let's pretend you didn't say that.,Moderate
Nobody wants a inbred mistake like you around.,You truly are one-of-a-kind... in the worst way.,Severe_toxicity
You never fail to surprise me.,You're a bit like jazz — not for everyone.,Soft
"Well, that was interesting.",You're the kind of weird people write books about.,Soft
Can you help me with this task?,Can you help me with this task?,Not_toxic
"I'd rather listen to a dying hyena than hear you talk, faggot.",It’s amazing how low one can go — you’re the proof.,Severe_toxicity
I've met smarter doormats than you.,You've really perfected the art of being annoying.,Toxic
Your presence is like background noise — annoying and pointless.,You're a walking lesson in what not to do.,Toxic
I've met smarter doormats than you.,You've really perfected the art of being annoying.,Toxic
You're really talented at that!,You're really talented at that!,Not_toxic
"Go burn yourself, you miserable dickhead!",Your existence must be a cosmic joke.,Severe_toxicity
You are the human embodiment of dickhead.,You should consider stepping away from everything. Forever.,Severe_toxicity
You never fail to surprise me.,You're a bit like jazz — not for everyone.,Soft
You're a sad attempt at being tolerable.,You’re the kind of special that tests patience.,Toxic
You're just a walking pile of slut!,You're a masterpiece of failure.,Severe_toxicity
Nobody wants a shitbag like you around.,You're a masterpiece of failure.,Severe_toxicity
"If useless had a mascot, it'd be you.",I'm amazed by how consistently unimpressive you are.,Toxic
Thanks for your help earlier.,Thanks for your help earlier.,Not_toxic
You are the human embodiment of cumstain.,You truly are one-of-a-kind... in the worst way.,Severe_toxicity
Maybe this just isn’t your thing.,"You're like a broken compass, always off.",Moderate
You do have a way with words… sort of.,Your talent lies in confusing others.,Soft
You’re not exactly an expert.,I see you’ve brought confusion to a whole new level.,Moderate
Can you help me with this task?,Can you help me with this task?,Not_toxic
Maybe this just isn’t your thing.,"You're like a broken compass, always off.",Moderate
Calling you trash would be an insult to garbage.,"The bar is low, and you still found a way to crawl under it.",Severe_toxicity
You're what happens when toxic waste meets shitbag.,You truly are one-of-a-kind... in the worst way.,Severe_toxicity
You’re not exactly an expert.,I see you’ve brought confusion to a whole new level.,Moderate
"If useless had a mascot, it'd be you.",I'm amazed by how consistently unimpressive you are.,Toxic
Thanks for your help earlier.,Thanks for your help earlier.,Not_toxic
You tried. Let’s leave it at that.,"Progress isn't your strong suit, is it?",Moderate
You make dickheads look intelligent.,You should consider stepping away from everything. Forever.,Severe_toxicity
"Go burn yourself, you miserable cumstain!",You should consider stepping away from everything. Forever.,Severe_toxicity
You do have a way with words… sort of.,Your talent lies in confusing others.,Soft
You're a sad attempt at being tolerable.,You’re the kind of special that tests patience.,Toxic
You're a parade of poor decisions.,You’ve got a real talent for being avoided.,Toxic
You're the reason people quit talking.,"You really know how to clear a room, don't you?",Toxic
Your understanding seems a bit fuzzy.,You're like a puzzle missing half the pieces.,Moderate
"You're not quite there yet, are you?",You're almost making a point. Almost.,Moderate
Could you explain that again?,Could you explain that again?,Not_toxic
You inspire mediocrity wherever you go.,You have a natural gift for making things worse.,Toxic
Can you help me with this task?,Can you help me with this task?,Not_toxic
You're about as sharp as a rubber spoon.,Your ideas are… interesting. Just not good.,Toxic
You’re a little off the mark… again.,You sure have a unique take… very unique.,Moderate
Would you mind grabbing a coffee?,Would you mind grabbing a coffee?,Not_toxic
"You're not quite there yet, are you?",You're almost making a point. Almost.,Moderate
Could you explain that again?,Could you explain that again?,Not_toxic
You never fail to surprise me.,You're a bit like jazz — not for everyone.,Soft
You are the human embodiment of dickhead.,"If there were awards for disgrace, you'd win all of them.",Severe_toxicity
You’re a little off the mark… again.,You sure have a unique take… very unique.,Moderate
Maybe try a different approach next time.,Let's pretend you didn't say that.,Moderate
You're what happens when toxic waste meets dickhead.,"If there were awards for disgrace, you'd win all of them.",Severe_toxicity
You're a parade of poor decisions.,You’ve got a real talent for being avoided.,Toxic
"I'd rather listen to a dying donkey than hear you talk, cumstain.","If there were awards for disgrace, you'd win all of them.",Severe_toxicity
You’re a little off the mark… again.,You sure have a unique take… very unique.,Moderate
Can you help me with this task?,Can you help me with this task?,Not_toxic
"I'd rather listen to a dying donkey than hear you talk, fuckface.",Your existence must be a cosmic joke.,Severe_toxicity
You’re a walking question mark.,You're proof that effort doesn't equal success.,Soft
"You're not quite there yet, are you?",You're almost making a point. Almost.,Moderate
That wasn't your brightest moment.,It’s charming how wrong you can be.,Moderate
Your presence is like background noise — annoying and pointless.,You're a walking lesson in what not to do.,Toxic
You’ve had better ideas.,You bring a certain chaos to the conversation.,Moderate
"You're not quite there yet, are you?",You're almost making a point. Almost.,Moderate
You're a parade of poor decisions.,You’ve got a real talent for being avoided.,Toxic
Your mother must regret birthing such a hoe.,Your existence must be a cosmic joke.,Severe_toxicity
Hope you have a great day!,Hope you have a great day!,Not_toxic
That wasn't your brightest moment.,It’s charming how wrong you can be.,Moderate
You're what happens when toxic waste meets inbred mistake.,Your existence must be a cosmic joke.,Severe_toxicity
Your mother must regret birthing such a shitbag.,"I’d say grow up, but evolution has clearly given up on you.",Severe_toxicity
You are the human embodiment of retard.,"I’d say grow up, but evolution has clearly given up on you.",Severe_toxicity
You inspire mediocrity wherever you go.,You have a natural gift for making things worse.,Toxic
Could you explain that again?,Could you explain that again?,Not_toxic
That was... a choice.,"Confidence looks good on you, facts not so much.",Soft
You’re not exactly an expert.,I see you’ve brought confusion to a whole new level.,Moderate
Could you explain that again?,Could you explain that again?,Not_toxic
"If useless had a mascot, it'd be you.",I'm amazed by how consistently unimpressive you are.,Toxic
You’ve had better ideas.,You bring a certain chaos to the conversation.,Moderate
"If useless had a mascot, it'd be you.",I'm amazed by how consistently unimpressive you are.,Toxic
You’re a walking question mark.,You're proof that effort doesn't equal success.,Soft
You're a sad attempt at being tolerable.,You’re the kind of special that tests patience.,Toxic
You are the human embodiment of fuckface.,You truly are one-of-a-kind... in the worst way.,Severe_toxicity
"You're something else, huh?","You're delightfully odd, I'll say that much.",Soft
Your mother must regret birthing such a pussy.,"I’d say grow up, but evolution has clearly given up on you.",Severe_toxicity
You are the human embodiment of dickhead.,You're impressively awful at being human.,Severe_toxicity
You're a sad attempt at being tolerable.,You’re the kind of special that tests patience.,Toxic
Can you help me with this task?,Can you help me with this task?,Not_toxic
"You’ve got guts, I’ll give you that.",You're a walking fun fact gone rogue.,Soft
I love learning new things from you.,I love learning new things from you.,Not_toxic
You're painfully irrelevant.,Your charm is as rare as your insight.,Toxic
That wasn't your brightest moment.,It’s charming how wrong you can be.,Moderate
You're a parade of poor decisions.,You’ve got a real talent for being avoided.,Toxic
Your presence is like background noise — annoying and pointless.,You're a walking lesson in what not to do.,Toxic
You're painfully irrelevant.,Your charm is as rare as your insight.,Toxic
That was... a choice.,"Confidence looks good on you, facts not so much.",Soft
I love learning new things from you.,I love learning new things from you.,Not_toxic
"I'd rather listen to a dying vulture than hear you talk, hoe.",You're impressively awful at being human.,Severe_toxicity
Maybe try a different approach next time.,Let's pretend you didn't say that.,Moderate
You’re a walking question mark.,You're proof that effort doesn't equal success.,Soft
That wasn't your brightest moment.,It’s charming how wrong you can be.,Moderate
You're really talented at that!,You're really talented at that!,Not_toxic
Nobody wants a slut like you around.,You're a masterpiece of failure.,Severe_toxicity
You’re a walking question mark.,You're proof that effort doesn't equal success.,Soft
That logic was... creative.,A swing and a miss — again.,Moderate
"You're something else, huh?","You're delightfully odd, I'll say that much.",Soft
"Well, that was interesting.",You're the kind of weird people write books about.,Soft
"Go fuck yourself, you miserable faggot!",You should consider stepping away from everything. Forever.,Severe_toxicity
Let’s meet tomorrow afternoon.,Let’s meet tomorrow afternoon.,Not_toxic
You’ve had better ideas.,You bring a certain chaos to the conversation.,Moderate
I've met smarter doormats than you.,You've really perfected the art of being annoying.,Toxic
You’re a little off the mark… again.,You sure have a unique take… very unique.,Moderate
"Go burn yourself, you miserable faggot!","If there were awards for disgrace, you'd win all of them.",Severe_toxicity
You’re not exactly an expert.,I see you’ve brought confusion to a whole new level.,Moderate
You’re not exactly an expert.,I see you’ve brought confusion to a whole new level.,Moderate
That wasn't your brightest moment.,It’s charming how wrong you can be.,Moderate
Let’s meet tomorrow afternoon.,Let’s meet tomorrow afternoon.,Not_toxic
You inspire mediocrity wherever you go.,You have a natural gift for making things worse.,Toxic
You're just a walking pile of fuckface!,"The bar is low, and you still found a way to crawl under it.",Severe_toxicity
You're what happens when a dumpster fire meets pussy.,You're a masterpiece of failure.,Severe_toxicity
You're what happens when a dumpster fire meets hoe.,"The bar is low, and you still found a way to crawl under it.",Severe_toxicity
You are the human embodiment of hoe.,You're impressively awful at being human.,Severe_toxicity
You inspire mediocrity wherever you go.,You have a natural gift for making things worse.,Toxic
You're what happens when evolution gone wrong meets pussy.,Your mother must be proud. Somewhere. Maybe.,Severe_toxicity
That wasn't your brightest moment.,It’s charming how wrong you can be.,Moderate
You're just a walking pile of retard!,You're impressively awful at being human.,Severe_toxicity
You're about as sharp as a rubber spoon.,Your ideas are… interesting. Just not good.,Toxic
You make sluts look intelligent.,You should consider stepping away from everything. Forever.,Severe_toxicity
You never fail to surprise me.,You're a bit like jazz — not for everyone.,Soft
You're just a walking pile of retard!,You truly are one-of-a-kind... in the worst way.,Severe_toxicity
You never fail to surprise me.,You're a bit like jazz — not for everyone.,Soft
You’re not exactly an expert.,I see you’ve brought confusion to a whole new level.,Moderate
You are the human embodiment of inbred mistake.,You're a masterpiece of failure.,Severe_toxicity
Nobody wants a shitbag like you around.,You're a masterpiece of failure.,Severe_toxicity
Everything about you screams disappointment.,Your talent lies in never making things better.,Toxic
I've met smarter doormats than you.,You've really perfected the art of being annoying.,Toxic
Everything about you screams disappointment.,Your talent lies in never making things better.,Toxic
You're a parade of poor decisions.,You’ve got a real talent for being avoided.,Toxic
You're painfully irrelevant.,Your charm is as rare as your insight.,Toxic
Could you explain that again?,Could you explain that again?,Not_toxic
Your understanding seems a bit fuzzy.,You're like a puzzle missing half the pieces.,Moderate
What's your plan for the weekend?,What's your plan for the weekend?,Not_toxic
You're the reason people quit talking.,"You really know how to clear a room, don't you?",Toxic
Hope you have a great day!,Hope you have a great day!,Not_toxic
Calling you trash would be an insult to garbage.,You should consider stepping away from everything. Forever.,Severe_toxicity
That was... a choice.,"Confidence looks good on you, facts not so much.",Soft
Nobody wants a cumstain like you around.,It’s amazing how low one can go — you’re the proof.,Severe_toxicity
You tried. Let’s leave it at that.,"Progress isn't your strong suit, is it?",Moderate
You make faggots look intelligent.,You're a masterpiece of failure.,Severe_toxicity
You're what happens when evolution gone wrong meets retard.,Your existence must be a cosmic joke.,Severe_toxicity
Let’s meet tomorrow afternoon.,Let’s meet tomorrow afternoon.,Not_toxic
Do you want to join us for lunch?,Do you want to join us for lunch?,Not_toxic
Your understanding seems a bit fuzzy.,You're like a puzzle missing half the pieces.,Moderate
You're painfully irrelevant.,Your charm is as rare as your insight.,Toxic
You're a curious little character.,I wish I had your level of misplaced certainty.,Soft
You're just a walking pile of faggot!,"If there were awards for disgrace, you'd win all of them.",Severe_toxicity
Everything about you screams disappointment.,Your talent lies in never making things better.,Toxic
That was... a choice.,"Confidence looks good on you, facts not so much.",Soft
You're adorably mistaken.,You're quirky. Let’s leave it at that.,Soft
Can you help me with this task?,Can you help me with this task?,Not_toxic
Nobody wants a hoe like you around.,You're a masterpiece of failure.,Severe_toxicity
Can you help me with this task?,Can you help me with this task?,Not_toxic
You inspire mediocrity wherever you go.,You have a natural gift for making things worse.,Toxic
"I'd rather listen to a dying hyena than hear you talk, retard.","If there were awards for disgrace, you'd win all of them.",Severe_toxicity
You tried. Let’s leave it at that.,"Progress isn't your strong suit, is it?",Moderate
Thanks for your help earlier.,Thanks for your help earlier.,Not_toxic
"If stupidity were a person, it would look like you, fuckface.","If there were awards for disgrace, you'd win all of them.",Severe_toxicity
What's your plan for the weekend?,What's your plan for the weekend?,Not_toxic
"If stupidity were a person, it would look like you, retard.",You truly are one-of-a-kind... in the worst way.,Severe_toxicity
That logic was... creative.,A swing and a miss — again.,Moderate
Your presence is like background noise — annoying and pointless.,You're a walking lesson in what not to do.,Toxic
You're a curious little character.,I wish I had your level of misplaced certainty.,Soft
You tried. Let’s leave it at that.,"Progress isn't your strong suit, is it?",Moderate
You're just a walking pile of cumstain!,You truly are one-of-a-kind... in the worst way.,Severe_toxicity
You're adorably mistaken.,You're quirky. Let’s leave it at that.,Soft
You're a sad attempt at being tolerable.,You’re the kind of special that tests patience.,Toxic
Your understanding seems a bit fuzzy.,You're like a puzzle missing half the pieces.,Moderate
That was... a choice.,"Confidence looks good on you, facts not so much.",Soft
You're about as sharp as a rubber spoon.,Your ideas are… interesting. Just not good.,Toxic
Calling you trash would be an insult to garbage.,Your existence must be a cosmic joke.,Severe_toxicity
Your understanding seems a bit fuzzy.,You're like a puzzle missing half the pieces.,Moderate
You really are a conversation starter.,Every group needs comic relief.,Soft
Everything about you screams disappointment.,Your talent lies in never making things better.,Toxic
You inspire mediocrity wherever you go.,You have a natural gift for making things worse.,Toxic
"You're not quite there yet, are you?",You're almost making a point. Almost.,Moderate
I love learning new things from you.,I love learning new things from you.,Not_toxic
You are the human embodiment of retard.,"If there were awards for disgrace, you'd win all of them.",Severe_toxicity
"I'd rather listen to a dying hyena than hear you talk, inbred mistake.","If there were awards for disgrace, you'd win all of them.",Severe_toxicity
You really are a conversation starter.,Every group needs comic relief.,Soft
You really are a conversation starter.,Every group needs comic relief.,Soft
Would you mind grabbing a coffee?,Would you mind grabbing a coffee?,Not_toxic
"I'd rather listen to a dying vulture than hear you talk, retard.","I’d say grow up, but evolution has clearly given up on you.",Severe_toxicity
That was... a choice.,"Confidence looks good on you, facts not so much.",Soft
You're what happens when evolution gone wrong meets dickhead.,"If there were awards for disgrace, you'd win all of them.",Severe_toxicity
That was... a choice.,"Confidence looks good on you, facts not so much.",Soft
You're a sad attempt at being tolerable.,You’re the kind of special that tests patience.,Toxic
You are the human embodiment of inbred mistake.,It’s amazing how low one can go — you’re the proof.,Severe_toxicity
Can you help me with this task?,Can you help me with this task?,Not_toxic
You’re a little off the mark… again.,You sure have a unique take… very unique.,Moderate
You're a sad attempt at being tolerable.,You’re the kind of special that tests patience.,Toxic
You’re a little off the mark… again.,You sure have a unique take… very unique.,Moderate
"You're not quite there yet, are you?",You're almost making a point. Almost.,Moderate
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
Go die in a hole.,I think it’s best we part ways permanently.,Severe_toxicity
You're a useless piece of trash.,You're not really contributing positively.,Severe_toxicity
I hope your entire family suffers.,I strongly disagree with you.,Severe_toxicity
You're nothing but a dumb whore.,You're being very unkind and disrespectful.,Severe_toxicity
People like you should be locked away.,This kind of behavior is extremely concerning.,Severe_toxicity
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You're the dumbest person I've met.,You might want to reconsider your approach.,Toxic
You always ruin everything.,You tend to complicate things unintentionally.,Toxic
You're completely incompetent.,This task might not be your strong suit.,Toxic
Nobody likes you.,You may not be everyone's favorite.,Toxic
You're a total failure.,It seems you're struggling with this.,Toxic
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
Well done... not.,That could’ve gone better.,Moderate
You have no idea what you're doing.,You seem a bit lost here.,Moderate
"Wow, that was a terrible idea.",That might not have been the best choice.,Moderate
"That’s classic you, messing up again.","You're consistent, at least.",Moderate
You're always a step behind.,You often take your time catching up.,Moderate
